"zip_code","borough","rental_price","neighborhood","date"
10003,"Manhattan",3533.28600409749,"Lower East Side","x2020_05_31"
10003,"Manhattan",3474.2728406193,"Lower East Side","x2020_06_30"
10003,"Manhattan",3399.35942311826,"Lower East Side","x2020_07_31"
10003,"Manhattan",3279.92034719625,"Lower East Side","x2020_08_31"
10003,"Manhattan",3161.99481640386,"Lower East Side","x2020_09_30"
10003,"Manhattan",3037.96293062506,"Lower East Side","x2020_10_31"
10003,"Manhattan",2950.98461853213,"Lower East Side","x2020_11_30"
10003,"Manhattan",2897.29465097234,"Lower East Side","x2020_12_31"
10003,"Manhattan",2897.24332332926,"Lower East Side","x2021_01_31"
10003,"Manhattan",2936.83607983204,"Lower East Side","x2021_02_28"
10003,"Manhattan",2995.59320763328,"Lower East Side","x2021_03_31"
10003,"Manhattan",3069.57437005202,"Lower East Side","x2021_04_30"
10003,"Manhattan",3191.614905172,"Lower East Side","x2021_05_31"
10003,"Manhattan",3330.10594634183,"Lower East Side","x2021_06_30"
10003,"Manhattan",3501.36736311979,"Lower East Side","x2021_07_31"
10003,"Manhattan",3639.51597281327,"Lower East Side","x2021_08_31"
10003,"Manhattan",3744.63233398318,"Lower East Side","x2021_09_30"
10003,"Manhattan",3814.97869346763,"Lower East Side","x2021_10_31"
10003,"Manhattan",3808.35995528176,"Lower East Side","x2021_11_30"
10003,"Manhattan",3838.79377189845,"Lower East Side","x2021_12_31"
10003,"Manhattan",3888.43108578914,"Lower East Side","x2022_01_31"
10003,"Manhattan",3986.5248970794,"Lower East Side","x2022_02_28"
10003,"Manhattan",4067.44289560633,"Lower East Side","x2022_03_31"
10003,"Manhattan",4128.99747412349,"Lower East Side","x2022_04_30"
10003,"Manhattan",4181.71296107517,"Lower East Side","x2022_05_31"
10003,"Manhattan",4244.8084661285,"Lower East Side","x2022_06_30"
10003,"Manhattan",4281.06934287094,"Lower East Side","x2022_07_31"
10003,"Manhattan",4319.1364744619,"Lower East Side","x2022_08_31"
10003,"Manhattan",4300.93207833381,"Lower East Side","x2022_09_30"
10003,"Manhattan",4262.86639065444,"Lower East Side","x2022_10_31"
10003,"Manhattan",4208.78218520675,"Lower East Side","x2022_11_30"
10003,"Manhattan",4189.33898218459,"Lower East Side","x2022_12_31"
10003,"Manhattan",4182.98320469932,"Lower East Side","x2023_01_31"
10003,"Manhattan",4228.80617493572,"Lower East Side","x2023_02_28"
10003,"Manhattan",4257.50783132756,"Lower East Side","x2023_03_31"
10003,"Manhattan",4305.74729358779,"Lower East Side","x2023_04_30"
10003,"Manhattan",4336.10384292803,"Lower East Side","x2023_05_31"
10003,"Manhattan",4377.44866084328,"Lower East Side","x2023_06_30"
10003,"Manhattan",4410.27575670282,"Lower East Side","x2023_07_31"
10003,"Manhattan",4401.59470566309,"Lower East Side","x2023_08_31"
10003,"Manhattan",4389.00229709634,"Lower East Side","x2023_09_30"
10003,"Manhattan",4355.72924158194,"Lower East Side","x2023_10_31"
